Komen;Label
@hyunjindust @f3feyy @byu_id Dua jempol paling mantap buat jatah sebulan emg 😭👍;Positif
@idextratime @byu_id paling enak sih;Positif
@idextratime @byu_id paling enak sih, bawaan telkomsel juga soalnya doi.;Positif
@idikms @urimogi @byu_id Btw sebelumnya itu harganya 140rb tp cuma 1.5mbps. udah makin murah sekarang;Positif
@IndiHome @IndiHomeCare Indihome di rumah saya lelet sekali, jadi saya beralih ke @byu_id saja;Positif
@itsthatkira @byu_id bagus kok;Positif
@jailsinggih_ @byu_id 😂😂😂Asyik tuh buat upload file ke drive cepaaat.;Positif
@jek___ Tapi @byu_id  lebih menyenangkan.;Positif
@jemhud @byu_id kenapa emang? di aku normal kok hud. keane u belum update deh kalo belum update emang stuck gitu di logo gamau masuk;Positif
@jogmfs Wow, akhirnya ada provider internet yang bebasin kamu bikin paket internet semuanya semaunya. Pesen SIM card-nya di sini dan dapetin tambahan kuota 2 GB! Klik di sini:  https://t.co/HKJ9h8vIDZ @byu_id;Positif
@kaphurbarus aku beli sim 50rb udh dapet kuota 10gb👍🏿 makasih @byu_id;Positif
@katehahani @byu_id Ohh byu itu dah banyak yg rekomendasiin;Positif
@kmiazw @byu_id Paket nya gede2 kuota nya dan harga nya ga mahal kok;Positif
@LuckycatsIDN @byu_id Kencang anjir;Positif
@luvjihn @byu_id Coba aja siapa tau signal telkomsel nya udh bagus lagi;Positif
@luvjihn Dan enak nya lagi setiap ada event ato apa selalu dpt gratis kuota;Positif
@mediocrickey kalo mau pake kuota, pak @byu_id kak. dia nyediain unlimited perhari cuma 10k;Positif
@megaitem @byu_id Yes. 1 kali yg 1Mbps (pas msh kenceng);Positif
@memeycantikfix @smartfrenworld @smartfrencare Moveon ke @byu_id dong sist;Positif
@mia_pnpk @byu_id DISKON KUOTA SANGAT BERGUNA UNTUK MENGHEMAT SAAT TIDAK DAPAT THR;Positif
@moonayapvt_ @Telkomsel @5ecretNumber Aduuh iya nih apalagi jadi BA nya @byu_id  kekinian banget ❤️👀;Positif
@Najakhyar @ndagels udah nonton pake by.u;Positif
@nanang__setya @bgsalif @Telkomsel @byu_id Gw ya ngikutin cara APN dr byu doang dah lancar bet. Kalo yg pure telkom… https://t.co/vxrR37iYy0;Positif
@Ohohmariobros @byu_id jangan lupa kan tiap 3 bulan juga dapet kuota gratis;Positif
"@Ohohmariobros @byu_id Tapikan kata-kata dari byu ga salah bang, di situ tertulis ""aman jaya"" yang artinya pelanggan ga khawatir tentang kuota";Positif
@Ohohmariobros @cellincollin @byu_id T..tapi gua bisa tethering kok 🥲;Positif
@oleeciaa @byu_id BENER BANGETTT!!! kalo gue si karna pas ada THR yang itu masi ada jadi sayang aja mau beli yang baru😭;Positif
@potatojarrr @byu_id untung ku adaa sinyal;Positif
@ring1___ @selenymph @txtfrombrand @byu_id Justru kebalikan. Gue liat promonya engage bgt;Positif
@roghroghrogh @IndiHomeCare Makanya pakai @byu_id;Positif
@sangjuwita Ga ngitung mba. Aku pake internet unlimited dari @byu_id;Positif
@sarimiebakso_ @byu_id dirumahku kenceng banget sih menurutku;Positif
@si_izzan @byu_id Up. Adain lagi paket yang bikin aman 2.5mbps. harga naek jadi 170k boljug juga.;Positif
@si_izzan @byu_id Ya baru tau sekarang @byu_id UNLIMITED bisa tetheringan ☑๓uυaπтaקקק..!!!;Positif
@siapaayotebak @byu_id Wah kok punyaku lancar y teh;Positif
@silvianurrahmaw @byu_id Tolong sobat aku ini dikasih apresiasinya karena kegigihannya nyaranin aku pake by.U dari… https://t.co/8FHRME1YOU;Positif
@smartfrenworld Udah by email dr kemaren untung dual sim pake @byu_id satu lagi nya masih bisa internetan https://t.co/eHcQzJs7Ta;Positif
@Sunda_Fess @byu_id donggg. Gancang pisannn plus marurah. Bismillah kuota 100GB🙏;Positif
@taeberrykiss @Vinjiminie @iffah_ni @BoizzofDaegu Huaa Alhamdulillah T-T terhuraa bigthanks to @byu_id terimakasih jaringannyaT_T;Positif
@Telkomsel udah ga asik unlimited pake fup. Hijrah ke @byu_id lagi ah.;Positif
@TonightShow_NET @byu_id Aku makek by.u selalu beli paket unlimited biar bisa puas vc sama doi kalo kangen;Positif
@TonightShow_NET @byu_id by.U kerennn keceeeee ;Positif
@txtfrombrand @byu_id promo sih ok bgt lah ya;Positif
@txtfrombrand walupun simpati, As dan loop menjadi satu, tetap @byu_id pilihanku.;Positif
@usepmujani @Telkomsel Pindah ke @byu_id aja Usep;Positif
@vietnamdr1p @A_L_A_15 @byu_id Yang 2Mbps emang ada tapi promo sekitar seminggu mungkin dan harga 140k waktu itu. Yang 1Mbps 100k.;Positif
@wydjaya @MPWR_ID Mending @byu_id lah;Positif
@Yasu_Hiro5 @byu_id Agar bebas main game tanpa khawatir ping merah;Positif
ABABIL Yuuk nyalain kencangnya biar ga ketinggalan keseruan @bangbily dkk di @byu_id #BillyKemalByuRamadhan https://t.co/0R5I14FLZ3;Positif
AH TERIMAKASIH @byu_id https://t.co/ZPKRERG0YM;Positif
akhirnya dapat THR dari papa;Positif
Akhirnya kebagian juga @byu_id https://t.co/Gmb2e8zlfv;Positif
Akhirnya sampai juga. Dapet sim ejector juga. Thanks @byu_id https://t.co/UR6fsMGjNm;Positif
aku dpt kuota dr nindy 😭 @byu_id thank you ya! https://t.co/vxduyohwrG;Positif
Anggap saja hadiah ulang tahun dari @byu_id Terimakasih by.U! https://t.co/6yM8YHjcgd;Positif
asik bgt bangun tidur dpt kado ultah dri byu;Positif
Asik loh pake @byu_id;Positif
Asik udah bisa, terimakasih @byu_id;Positif
Asiknyaa dapat kado;Positif
Bagusnya @byu_id itu selama gw pakai belum pernah sekalipun dapet sms nyasar pinjaman online atau dapet kejutan had… https://t.co/KYharcjoOu;Positif
Bahagia itu ketika dapat kuota dari @byu_id https://t.co/Yx4hyE9cHd;Positif
Baik banget;Positif
Baik banget deh, terimakasih @byu_id https://t.co/ZHCBgQlWjN;Positif
baik banget makasih @byu_id 😘 https://t.co/dYH1xWLt7c;Positif
Baik banget sih @byu_id . Makasihloh 😘 https://t.co/9ZlJODOJMj;Positif
Bang @radityadika aja udah jadi anak @byu_id yang bisa #SemuanyaSemaunya dari satu aplikasi, kalo kamu kapan?;Positif
Bangga banget sih jadi anak by u;Positif
Baru ngeuh ada yang ngasih bonus kuota pas ulangtaun. Thank you @byu_id https://t.co/3DheZpZxkN;Positif
Baru sadar kalo dikasih hadian ultah sama @byu_id makin sayang 😘 #SemuanyaSemaunya https://t.co/uSUkA8jE6h;Positif
Bayu ter-grecep emang 😘👍;Positif
Bener2 sesuai slogannya #semuanyasemaunya beli kuota 50Gb d apps @byu_id pakai metode pembayaran @danawallet udah 4… https://t.co/2c8Xu4bczT;Positif
Besok bisa nonton hiburan GRATIS!!! ;Positif
Bisa telpun emak Alhamdulillah. Simpati telpon ke @byu_id Rp. 0. karena udah ada combo sakti. Enaknya pakai by.u ga… https://t.co/w9wKDLxoyS;Positif
bisa2nya angka jamnya cantik azeekk keren gak sie @byu_id https://t.co/h3HsjnasOx;Positif
btw tengkyu yaa nindy kadonya😘✨ @byu_id https://t.co/cUG59HAS98;Positif
Buat instagram lancar.;Positif
Buat yang mau begadang nonton UEFA EURO 2020! Sekarang ada Topping Mola TV 2GB • 33 ribu dan 6GB • 45 ribu + termasuk akses Mola Euro 2020 lho!;Positif
bulan Mei tahun ini 2x dapet kado dari @byu_id ;Positif
By.u baik banget deh;Positif
By.u keren pesen kemaren lgsung sampe simcardnya mudah2an sinyal nya bagus yaaa di tempat saya 🙏 @byu_id https://t.co/nPTXLkLR7L;Positif
by.u mang gaada obat;Positif
Cie udah anniv ajanih kita~ @byu_id https://t.co/aW8jgtKYjA;Positif
Ciee anniversary nya sama @byu_id moga makin banyak promonya ya eheh https://t.co/xUZCPEOhRl;Positif
Ciee udah setaun nih kita @byu_id https://t.co/7xAOvNFdmk;Positif
Ciee yg uda 1th:);Positif
cinta bgt 💙 @byu_id https://t.co/ZYv5Sxz63S;Positif
cuma @byu_id  yang perhatian.;Positif
Dapat hadiah 1st Anniversary dari @byu_id . ;Positif
dapat kado kuota dr nindy WKKAKAKAKKA MAKASI NINDY @byu_id https://t.co/XJmkpotnWi;Positif
dapet kuota gratis dari @byu_id 😭;Positif
Dapet pesan cinta @byu_id 💛 https://t.co/rG8nDKFjkt;Positif
Dapet surprise dari @byu_id terimakasih Nindy kadonya..🙏🏻😇🤗 https://t.co/GKm69HKXSE;Positif
dari XL pindah ke @byu_id berharap sinyal lebih kenceng;Positif
Definisi lengkap tapi simple adalah definisi yang menggambarkan @byu_id buat Iky. Yuk download aplikasi by.U kamu di App store atau Play store dan rasain nikmatnya jadi Anak by.U! #SemuanyaSemaunya;Positif
Demi apa dapat promo kuota sebanyak ini @byu_id cuman 50K aja ?? Wkwkwk mantul banget sih https://t.co/39Wydy13qW;Positif
'Dijamin hematnya nggak abal-abal dong kalo pakai by.U;Positif
Dijamin sinyal gak ilang-ilangan kayak gebetan Enzy kalo pakai by.U;Positif
Dikadoin kuota 1GB sama @byu_id :)) Makasih kadonyaa;Positif
dikasih kado @byu_id dong, terimakasih kak Nindy :'))))) https://t.co/TcdYJuAV8L;Positif
Dikasih kado sama @byu_id hiyaa wkwk https://t.co/VR8ncW0TF1;Positif
Diucapin+dikasih kado sama temen ❌;Positif
Eh ada cashback nya @byu_id  😍 makasi bayuuuuu. Ter luv lah https://t.co/hMvoRd4LTx;Positif
Eh kok tau bgt sih akhir bulan gini kuota sekarat... Terharuuu bgt 2GB jg alhamdulillaah 🥺♥️ makasih nindyyyyy😭🤩… https://t.co/UlGLJoDnwE;Positif
Eh makasih lho gratisan kuotanya @byu_id https://t.co/KIdcCkveEH;Positif
Emang nindy yang paling ngerti😘@byu_id https://t.co/ivkXgwgBXV;Positif
Emg yang romantis cuma @byu_id doang https://t.co/v1iBJvEEVQ;Positif
First impression pake @byu_id (D1) yang unlimited 30 hari kaget banget ternyata streaming youtube 1080 aja lancar :… https://t.co/TrHfpLOhVq;Positif
Gaes, lagi ada Promo Banjir Kouta dari by.U 75 GB 150 Ribu nih, bisa buat internetan #SemuanyaSemaunya selama sebulan penuh. Kuota utuh tanpa dibagi-bagi jaringan, lokasi dan aplikasi. Yuk beli kuota by.U sekarang!;Positif
Gilakkkk keren nih dapat kado dari @byu_id ❤️❤️❤️😘😘;Positif
Gokil sih admin @byu_id fast respon lagi;Positif
Google dan By. U @byu_id lebih paham cara mengucapkan 🙂 https://t.co/K9eWmmbdh2;Positif
hahaha km baik bgt syg @byu_id https://t.co/dRZjAaUnfn;Positif
Hahh terharu aku tu 😭 makin sayang. Terima kasih ♥️ @byu_id https://t.co/3DLWLcUegL;Positif
handphone baru,,beralih juga ke @byu_id .... https://t.co/yMuqjxQAKy;Positif
Happy 1st Anniversary buat kartuku 🎉🎉;Positif
Happy 6 Monthiversary;Positif
happy 6 monthiversary buat kita @byu_id 🥰 https://t.co/MFrMbYTRK7;Positif
Happy 6 Monthiversary 💜;Positif
Happy anniversary @byu_id makasih ya kuotanya 🤩 https://t.co/VVI32B2uTc;Positif
Happy anniversary buat kita 😘 @byu_id https://t.co/2icMZ6PVK9;Positif
Happy Anniversary sayangg🥰😘 si selalu ngasih data gratisan @byu_id https://t.co/xPLllCvBzM;Positif
harga paket @byu_id murah banget;Positif
Hari gini jangan temenan sama jaringan internet yg lelet dan lemot. Pakai Kuota Hemat dari Telkomsel by.U yg super… https://t.co/xtstU6uYuQ;Positif
hari gini masih belum pake by.u!? dijamin nyesel deh klian yg gapake by.u;Positif
Hari hari jentet @byu_id @byu_id @byu_id @byu_id @byu_id @byu_id https://t.co/svRcB3qnLT;Positif
Heheh kebagian kado nih @byu_id https://t.co/pHcWa4BTCd;Positif
huhuhuhu by u kenapaa baikk bgtt sii. thank you by u @byu_id https://t.co/BmCRq7213T;Positif
Ih keren bgt @byu_id aku dikasih kuota gratis wkwk, tau aja kalo Wi-Fi di rumah lagi error. Thanks:p https://t.co/F2wQDDqzvq;Positif
ihiy udah se1th aja nihh timakaci gift nya🥺😍 @byu_id https://t.co/uu85tFJ9fB;Positif
Info Promo By.U 👉 https://t.co/0VTQXAIOrN;Positif
Jangan sampe kelewatan DISKON SPESIAL sampe 1,2 juta buat #AnakbyU di https://t.co/zVKEfcoKyQ biar makin jago Bahasa Inggris guys! Periode promo 13- 25 Juni 2021. ;Positif
Ka Nindy baik banget @byu_id 🤗🤗 https://t.co/kAgZMxiQvh;Positif
Kaget bgt tiba2 ada notif happy anniversary (padahal yg asli masih september 👀). Well then;Positif
Kaget dund dapet notif ternyata dari @byu_id kasih kabar bahwa sudah 1 tahun jadian 😂😂 lupa kapan pakai by.u pertam… https://t.co/eXXaNcQJoq;Positif
Kaget pake @byu_id beneran unlimited;Positif
Kalo malam selalu begini main ML @byu_id paket unlimited https://t.co/mbjD3HhXLu;Positif
Kapan ya ada cowo bulshit yang ngucapin met setahun sampe maut memisahkan selain dari @byu_id :'( https://t.co/gTpgoCBs28;Positif
Karena hari ini pengumuman kelulusan, jadi notif @byu_id  lebih spesial daripada ucapan Selamat Lulus. Terimakasihh :)) https://t.co/jiw5JP1PF5;Positif
kelas malam dr @byu_id emang mood banget dah 😂;Positif
Kemaren baru dapet kuota monthversary dari @byu_id tp hpnya dijambret orang🙂;Positif
Kenceng sih;Positif
keren bgt :( kartu ilang diganti dikirimin yang baruuu aaaa ga perlu ribet ksana kesini @byu_id mantaff 🤩 https://t.co/N5FTgm5jGQ;Positif
keren bgt by.u beli kartu, bisa requestan sendiri nomornyaaa hehe (dulu awal beli masih gabisa), jadinya pake tahun biasss dehh 92 jae, 00 pacar pacarku. @byu_id 🤩🤩🤩 https://t.co/GTRcjBcuj7;Positif
Keren ini follow up dari customer servicenya @byu_id;Positif
Kiww udah 9 bulan aja sama @byu_id ❤ ;Positif
Kuota habis dari kemarin eh tadi sore sampe sekarang wa,twitter masih bisa on;Positif
Kuota richGiga dari @byu_id bisa buat akses apa aja ya? Nyoba speed bisa 3Mbps;Positif
Kuota topping twitter dari @byu_id masih awet banget. Kayaknya untuk twitter enggak usah kuota khusus ya besok², paketin yang lain aja 😅😅;Positif
Lumayan asupan nanggung bulan. Thank you @byu_id https://t.co/iBDTJM2URE;Positif
Lumayan gocap dpt 25gb @byu_id https://t.co/P8abWM6YUY;Positif
Main mobile legends paling enak pake byu;Positif
Makasi @byu_id tau aja kuota pas habis 😊 https://t.co/sYgPH1Sf13;Positif
Makasi ya by @byu_id ❤ semoga langgeng kita ya https://t.co/azLBr0IYIr;Positif
Makasi ya giftnya @byu_id https://t.co/oeQn1fBziB;Positif
makasih @byu_id 🎉👍 akhirnyaa dapet juga https://t.co/SmPWf4VEzX;Positif
Makasih @byu_id Kado 1GB nya 😂🎉 https://t.co/DqFVns7ktx;Positif
Makasih @byu_id perhatian banget cieee 😚 https://t.co/6qdVxst5EP;Positif
Makasih @byu_id sudah membantu mengatasi masalah sim card yang hilang. ;Positif
